HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
1151,672,18468,18468
1152,704,18484,18484
1153,672,18500,18500
1154,800,18516,18516
1155,704,18532,18532
1156,672,18548,18548
1157,704,18564,18564
1158,672,18580,18580
1159,704,18596,18596
1160,704,18612,18612
1161,704,18628,18628
1162,672,18644,18644
1163,704,18660,18660
1164,672,18676,18676
1165,672,18692,18692
1166,704,18708,18708
1167,672,18724,18724
1168,672,18740,18740
1169,672,18756,18756
1170,672,18772,18772
1171,928,18788,18788
1172,672,18804,18804
1173,672,18820,18820
1174,672,18836,18836
1175,672,18852,18852
1176,672,18868,18868
1177,672,18884,18884
1178,672,18900,18900
1179,672,18916,18916
1180,672,18932,18932
1181,672,18948,18948
1182,640,18964,18964
1183,672,18980,18980
1184,672,18996,18996
1185,672,19012,19012
1186,672,19028,19028
1187,704,19044,19044
1188,672,19060,19060
1189,672,19076,19076
1190,672,19092,19092
1191,672,19108,19108
1192,672,19124,19124
1193,704,19140,19140
1194,736,19156,19156
1195,704,19172,19172
1196,672,19188,19188
1197,672,19204,19204
1198,672,19220,19220
1199,672,19236,19236
1200,672,19252,19252
1201,672,19268,19268
1202,672,19284,19284
1203,672,19300,19300
1204,672,19316,19316
1205,672,19332,19332
1206,672,19348,19348
1207,672,19364,19364
1208,672,19380,19380
1209,640,19396,19396
1210,672,19412,19412
1211,672,19428,19428
1212,672,19444,19444
1213,704,19460,19460
1214,672,19476,19476
1215,672,19492,19492
1216,672,19508,19508
1217,672,19524,19524
1218,704,19540,19540
1219,672,19556,19556
1220,672,19572,19572
1221,672,19588,19588
1222,672,19604,19604
1223,640,19620,19620
1224,672,19636,19636
1225,672,19652,19652
1226,672,19668,19668
1227,672,19684,19684
1228,640,19700,19700
1229,672,19716,19716
1230,672,19732,19732
1231,672,19748,19748
1232,672,19764,19764
1233,672,19780,19780
1234,672,19796,19796
1235,672,19812,19812
1236,672,19828,19828
1237,672,19844,19844
1238,672,19860,19860
1239,672,19876,19876
1240,672,19892,19892
1241,672,19908,19908
1242,672,19924,19924
1243,672,19940,19940
1244,672,19956,19956
1245,672,19972,19972
1246,672,19988,19988
1247,672,20004,20004
1248,704,20020,20020
1249,672,20036,20036
1250,672,20052,20052
1251,672,20068,20068
1252,672,20084,20084
1253,672,20100,20100
1254,704,20116,20116
1255,672,20132,20132
1256,672,20148,20148
1257,672,20164,20164
1258,672,20180,20180
1259,672,20196,20196
1260,672,20212,20212
1261,672,20228,20228
1262,672,20244,20244
1263,672,20260,20260
1264,672,20276,20276
1265,704,20292,20292
1266,672,20308,20308
1267,672,20324,20324
1268,672,20340,20340
1269,640,20356,20356
1270,672,20372,20372
1271,672,20388,20388
1272,672,20404,20404
1273,672,20420,20420
1274,640,20436,20436
1275,672,20452,20452
1276,672,20468,20468
1277,704,20484,20484
1278,672,20500,20500
1279,672,20516,20516
1280,672,20532,20532
1281,672,20548,20548
1282,672,20564,20564
1283,672,20580,20580
1284,672,20596,20596
1285,672,20612,20612
1286,704,20628,20628
1287,672,20644,20644
1288,672,20660,20660
1289,672,20676,20676
1290,672,20692,20692
1291,672,20708,20708
1292,640,20724,20724
1293,672,20740,20740
1294,704,20756,20756
1295,640,20772,20772
1296,672,20788,20788
1297,672,20804,20804
1298,672,20820,20820
1299,672,20836,20836
1300,672,20852,20852
1301,640,20868,20868
1302,640,20884,20884
1303,672,20900,20900
1304,672,20916,20916
1305,672,20932,20932
1306,672,20948,20948
1307,672,20964,20964
1308,672,20980,20980
1309,640,20996,20996
1310,992,21012,21012
1311,672,21028,21028
1312,672,21044,21044
1313,672,21060,21060
1314,672,21076,21076
1315,672,21092,21092
1316,672,21108,21108
1317,672,21124,21124
1318,896,21140,21140
1319,672,21156,21156
1320,672,21172,21172
1321,672,21188,21188
1322,672,21204,21204
1323,672,21220,21220
1324,672,21236,21236
1325,672,21252,21252
1326,672,21268,21268
1327,864,21284,21284
1328,672,21300,21300
1329,672,21316,21316
1330,672,21332,21332
1331,672,21348,21348
1332,672,21364,21364
1333,672,21380,21380
1334,672,21396,21396
1335,672,21412,21412
1336,672,21428,21428
1337,640,21444,21444
1338,928,21460,21460
1339,672,21476,21476
1340,672,21492,21492
1341,704,21508,21508
1342,672,21524,21524
1343,672,21540,21540
1344,672,21556,21556
1345,704,21572,21572
1346,672,21588,21588
1347,672,21604,21604
1348,672,21620,21620
1349,704,21636,21636
